date,NIFTY NEXT 50
2016-03-15,23483.45
2016-03-16,23395.71
2016-03-17,23593.57
2016-03-18,23738.07
2016-03-21,24081.70
2016-03-22,24187.96
2016-03-23,24223.19
2016-03-28,23869.92
2016-03-29,23861.02
2016-03-30,24241.36
2016-03-31,24368.02
2016-04-01,24374.11
2016-04-04,24437.90
2016-04-05,24073.60
2016-04-06,24222.82
2016-04-07,24119.54
2016-04-08,24239.69
2016-04-11,24452.37
2016-04-12,24628.21
2016-04-13,24908.82
2016-04-18,25166.78
2016-04-20,25200.51
2016-04-21,25191.61
2016-04-22,25229.92
2016-04-25,25071.01
2016-04-26,25223.49
2016-04-27,25302.40
2016-04-28,25002.94
2016-04-29,25110.49
2016-05-02,25509.46
2016-05-03,25253.86
2016-05-04,24854.94
2016-05-05,24890.85
2016-05-06,25023.64
2016-05-09,25217.95
2016-05-10,25229.15
2016-05-11,25251.13
2016-05-12,25509.85
2016-05-13,25274.34
2016-05-16,25255.83
2016-05-17,25271.27
2016-05-18,25277.04
2016-05-19,24981.78
2016-05-20,24819.81
2016-05-23,24762.86
2016-05-24,24703.55
2016-05-25,24973.42
2016-05-26,25249.88
2016-05-27,25622.86
2016-05-30,25734.17
2016-05-31,25621.81
2016-06-01,25636.73
2016-06-02,25807.40
2016-06-03,25815.47
2016-06-06,25672.79
2016-06-07,25787.49
2016-06-08,25919.08
2016-06-09,25842.02
2016-06-10,25705.22
2016-06-13,25522.55
2016-06-14,25578.66
2016-06-15,25759.90
2016-06-16,25740.88
2016-06-17,25740.22
2016-06-20,25878.44
2016-06-21,25936.29
2016-06-22,25941.40
2016-06-23,25974.03
2016-06-24,25617.77
2016-06-27,25867.71
2016-06-28,26068.38
2016-06-29,26334.77
2016-06-30,26695.58
2016-07-01,27082.42
2016-07-04,27299.67
2016-07-05,27273.80
2016-07-07,27241.13
2016-07-08,27312.83
2016-07-11,27762.91
2016-07-12,27985.35
2016-07-13,27875.90
2016-07-14,27998.25
2016-07-15,28079.81
2016-07-18,27888.83
2016-07-19,27985.76
2016-07-20,28206.88
2016-07-21,28241.18
2016-07-22,28605.86
2016-07-25,28917.49
2016-07-26,28895.10
2016-07-27,29072.59
2016-07-28,29202.29
2016-07-29,29257.60
2016-08-01,29341.63
2016-08-02,29140.97
2016-08-03,28627.42
2016-08-04,28803.24
2016-08-05,29369.84
2016-08-08,29675.93
2016-08-09,29500.30
2016-08-10,29008.76
2016-08-11,29088.83
2016-08-12,29370.70
2016-08-16,29514.59
2016-08-17,29714.40
2016-08-18,29837.74
2016-08-19,29911.49
2016-08-22,29744.48
2016-08-23,29570.49
2016-08-24,29835.81
2016-08-25,29670.98
2016-08-26,29755.35
2016-08-29,29782.25
2016-08-30,29996.62
2016-08-31,30038.13
2016-09-01,29979.57
2016-09-02,30094.40
2016-09-06,30583.54
2016-09-07,30657.15
2016-09-08,30781.49
2016-09-09,30503.42
2016-09-12,29634.94
2016-09-14,29947.90
2016-09-15,29816.33
2016-09-16,29891.31
2016-09-19,29978.62
2016-09-20,29982.19
2016-09-21,29963.34
2016-09-22,30354.11
2016-09-23,30388.39
2016-09-26,30281.55
2016-09-27,30248.39
2016-09-28,30455.70
2016-09-29,29387.18
2016-09-30,29945.33
2016-10-03,30756.08
2016-10-04,30960.04
2016-10-05,31009.71
2016-10-06,30984.13
2016-10-07,30908.55
2016-10-10,30848.14
2016-10-13,30365.69
2016-10-14,30496.83
2016-10-17,30315.51
2016-10-18,30850.63
2016-10-19,30942.00
2016-10-20,30979.69
2016-10-21,31034.72
2016-10-24,30951.29
2016-10-25,30982.17
2016-10-26,30672.06
2016-10-27,30324.31
2016-10-28,30741.20
2016-10-30,30844.64
2016-11-01,30913.88
2016-11-02,30373.32
2016-11-03,29968.07
2016-11-04,29591.99
2016-11-07,29803.96
2016-11-08,29910.86
2016-11-09,29354.06
2016-11-10,29826.54
2016-11-11,28834.05
2016-11-15,27569.48
2016-11-16,27785.69
2016-11-17,27788.99
2016-11-18,27920.53
2016-11-21,27213.45
2016-11-22,27645.04
2016-11-23,28032.57
2016-11-24,28017.01
2016-11-25,28466.34
2016-11-28,28675.84
2016-11-29,28704.15
2016-11-30,29038.17
2016-12-01,28762.64
2016-12-02,28381.80
2016-12-05,28640.87
2016-12-06,28714.46
2016-12-07,28686.73
2016-12-08,29198.82
2016-12-09,29107.67
2016-12-12,28751.27
2016-12-13,28619.76
2016-12-14,28360.16
2016-12-15,28314.79
2016-12-16,28266.20
