date,NIFTY 500
2016-03-15,8899.93
2016-03-16,8924.52
2016-03-17,8954.20
2016-03-18,9050.81
2016-03-21,9172.30
2016-03-22,9190.10
2016-03-23,9197.92
2016-03-28,9070.68
2016-03-29,9053.98
2016-03-30,9217.78
2016-03-31,9239.92
2016-04-01,9230.34
2016-04-04,9279.23
2016-04-05,9105.56
2016-04-06,9133.81
2016-04-07,9064.79
2016-04-08,9088.92
2016-04-11,9209.21
2016-04-12,9265.75
2016-04-13,9416.66
2016-04-18,9502.13
2016-04-20,9513.99
2016-04-21,9501.07
2016-04-22,9491.99
2016-04-25,9442.60
2016-04-26,9551.54
2016-04-27,9572.88
2016-04-28,9428.01
2016-04-29,9435.77
2016-05-02,9423.72
2016-05-03,9356.97
2016-05-04,9286.59
2016-05-05,9309.92
2016-05-06,9316.38
2016-05-09,9457.72
2016-05-10,9477.86
2016-05-11,9443.08
2016-05-12,9511.69
2016-05-13,9427.84
2016-05-16,9465.02
2016-05-17,9495.73
2016-05-18,9484.05
2016-05-19,9376.55
2016-05-20,9328.71
2016-05-23,9303.21
2016-05-24,9307.99
2016-05-25,9491.69
2016-05-26,9632.59
2016-05-27,9735.44
2016-05-30,9780.40
2016-05-31,9757.09
2016-06-01,9773.47
2016-06-02,9822.02
2016-06-03,9817.43
2016-06-06,9803.72
2016-06-07,9878.13
2016-06-08,9903.43
2016-06-09,9846.98
2016-06-10,9810.17
2016-06-13,9742.85
2016-06-14,9755.44
2016-06-15,9857.69
2016-06-16,9800.32
2016-06-17,9832.76
2016-06-20,9903.05
2016-06-21,9895.69
2016-06-22,9875.46
2016-06-23,9932.84
2016-06-24,9738.77
2016-06-27,9779.32
2016-06-28,9828.27
2016-06-29,9932.52
2016-06-30,10038.73
2016-07-01,10106.39
2016-07-04,10170.09
2016-07-05,10140.15
2016-07-07,10140.75
2016-07-08,10126.00
2016-07-11,10287.57
2016-07-12,10346.50
2016-07-13,10324.90
2016-07-14,10380.92
2016-07-15,10356.16
2016-07-18,10310.87
2016-07-19,10334.21
2016-07-20,10396.66
2016-07-21,10348.60
2016-07-22,10407.44
2016-07-25,10521.16
2016-07-26,10470.31
2016-07-27,10510.64
2016-07-28,10573.42
2016-07-29,10561.53
2016-08-01,10568.95
2016-08-02,10535.23
2016-08-03,10422.99
2016-08-04,10445.76
2016-08-05,10613.15
2016-08-08,10662.79
2016-08-09,10620.56
2016-08-10,10489.54
2016-08-11,10508.13
2016-08-12,10592.39
2016-08-16,10580.59
2016-08-17,10587.03
2016-08-18,10657.76
2016-08-19,10668.86
2016-08-22,10620.31
2016-08-23,10614.66
2016-08-24,10652.63
2016-08-25,10591.34
2016-08-26,10578.81
2016-08-29,10616.61
2016-08-30,10762.82
2016-08-31,10806.58
2016-09-01,10783.22
2016-09-02,10828.04
2016-09-06,10987.60
2016-09-07,10977.36
2016-09-08,11031.32
2016-09-09,10934.44
2016-09-12,10711.08
2016-09-14,10761.82
2016-09-15,10774.29
2016-09-16,10809.89
2016-09-19,10848.37
2016-09-20,10814.58
2016-09-21,10816.64
2016-09-22,10934.35
2016-09-23,10908.21
2016-09-26,10799.69
2016-09-27,10785.63
2016-09-28,10850.59
2016-09-29,10593.48
2016-09-30,10677.17
2016-10-03,10875.55
2016-10-04,10926.74
2016-10-05,10923.62
2016-10-06,10882.82
2016-10-07,10868.26
2016-10-10,10876.25
2016-10-13,10711.11
2016-10-14,10742.18
2016-10-17,10662.28
2016-10-18,10846.76
2016-10-19,10840.51
2016-10-20,10885.45
2016-10-21,10894.59
2016-10-24,10909.63
2016-10-25,10895.14
2016-10-26,10801.60
2016-10-27,10766.87
2016-10-28,10827.51
2016-10-30,10838.16
2016-11-01,10840.64
2016-11-02,10681.16
2016-11-03,10615.11
2016-11-04,10514.14
2016-11-07,10596.79
2016-11-08,10647.68
2016-11-09,10476.32
2016-11-10,10613.46
2016-11-11,10301.51
2016-11-15,9997.98
2016-11-16,10015.14
2016-11-17,9979.70
2016-11-18,9987.01
2016-11-21,9774.60
2016-11-22,9881.29
2016-11-23,9949.77
2016-11-24,9884.60
2016-11-25,10062.81
2016-11-28,10095.55
2016-11-29,10124.81
2016-11-30,10234.36
2016-12-01,10177.83
2016-12-02,10043.45
2016-12-05,10096.81
2016-12-06,10121.91
2016-12-07,10077.98
2016-12-08,10248.68
2016-12-09,10265.87
2016-12-12,10153.18
2016-12-13,10185.20
2016-12-14,10126.37
2016-12-15,10104.18
2016-12-16,10085.73
2016-12-19,10037.84
2016-12-20,9986.85
2016-12-21,9969.41
2016-12-22,9854.23
2016-12-23,9852.15
2016-12-26,9721.39
2016-12-27,9876.89
2016-12-28,9899.09
2016-12-29,9997.47
2016-12-30,10094.85
2017-01-02,10123.35
2017-01-03,10161.31
2017-01-04,10164.19
2017-01-05,10274.28
2017-01-06,10239.87
2017-01-09,10242.80
2017-01-10,10310.82
2017-01-11,10429.31
2017-01-12,10454.93
2017-01-13,10449.78
2017-01-16,10478.19
2017-01-17,10471.94
2017-01-18,10508.63
2017-01-19,10536.59
2017-01-20,10413.71
2017-01-23,10472.14
2017-01-24,10577.27
2017-01-25,10725.46
2017-01-27,10779.67
2017-01-30,10775.29
2017-01-31,10670.20
2017-02-01,10868.73
2017-02-02,10915.20
2017-02-03,10948.16
2017-02-06,11032.65
2017-02-07,10997.99
2017-02-08,11014.74
2017-02-09,11031.66
2017-02-10,11042.84
2017-02-13,11036.99
2017-02-14,11005.75
2017-02-15,10900.89
2017-02-16,10999.92
2017-02-17,11056.01
2017-02-20,11133.95
2017-02-21,11182.31
2017-02-22,11177.66
2017-02-23,11189.57
2017-02-27,11157.30
2017-02-28,11163.37
2017-03-01,11231.97
2017-03-02,11140.72
2017-03-03,11147.38
2017-03-06,11218.67
2017-03-07,11204.10
2017-03-08,11168.88
2017-03-09,11168.88
2017-03-10,11170.20
2017-03-14,11356.47
2017-03-15,11384.10
2017-03-16,11493.89
2017-03-17,11500.51
2017-03-20,11479.48
2017-03-21,11465.92
2017-03-22,11351.31
2017-03-23,11432.10
2017-03-24,11463.91
2017-03-27,11406.27
2017-03-28,11474.13
2017-03-29,11524.00
2017-03-30,11570.97
2017-03-31,11598.65
2017-04-03,11682.98
2017-04-05,11743.79
2017-04-06,11739.48
2017-04-07,11671.65
2017-04-10,11681.59
2017-04-11,11765.69
2017-04-12,11724.71
2017-04-13,11675.47
2017-04-17,11672.13
2017-04-18,11614.85
2017-04-19,11641.62
2017-04-20,11702.74
2017-04-21,11694.88
2017-04-24,11810.47
2017-04-25,11925.74
2017-04-26,11946.26
2017-04-27,11933.70
2017-04-28,11922.34
2017-05-02,11947.10
2017-05-03,11941.80
2017-05-04,11997.73
2017-05-05,11892.47
2017-05-08,11940.14
2017-05-09,11964.28
2017-05-10,12076.74
2017-05-11,12092.44
2017-05-12,12046.33
2017-05-15,12121.96
2017-05-16,12191.44
2017-05-17,12188.17
2017-05-18,12018.60
2017-05-19,11988.17
2017-05-22,11954.78
2017-05-23,11844.60
2017-05-24,11769.11
2017-05-25,11954.04
2017-05-26,12098.08
2017-05-29,12052.09
2017-05-30,12094.79
2017-05-31,12126.76
2017-06-01,12156.89
2017-06-02,12214.27
2017-06-05,12265.94
2017-06-06,12209.99
2017-06-07,12259.86
2017-06-08,12256.91
2017-06-09,12291.31
2017-06-12,12227.81
2017-06-13,12230.10
2017-06-14,12248.80
2017-06-15,12219.65
2017-06-16,12236.16
2017-06-19,12296.81
2017-06-20,12301.38
2017-06-21,12286.83
2017-06-22,12260.64
2017-06-23,12160.56
2017-06-27,12059.45
2017-06-28,12051.07
2017-06-29,12087.21
2017-06-30,12132.60
2017-07-03,12256.67
2017-07-04,12248.50
2017-07-05,12308.37
2017-07-06,12357.06
2017-07-07,12353.92
2017-07-10,12467.16
2017-07-11,12450.31
2017-07-12,12510.04
2017-07-13,12605.02
2017-07-14,12602.52
2017-07-17,12630.62
