date,NIFTY SMALLCAP 250
2016-03-11,4560.76
2016-03-14,4585.02
2016-03-15,4559.27
2016-03-16,4554.09
2016-03-17,4571.06
2016-03-18,4589.05
2016-03-21,4644.73
2016-03-22,4663.94
2016-03-23,4671.32
2016-03-28,4597.37
2016-03-29,4591.42
2016-03-30,4681.98
2016-03-31,4697.09
2016-04-01,4742.59
2016-04-04,4782.21
2016-04-05,4698.47
2016-04-06,4755.72
2016-04-07,4740.1
2016-04-08,4777.98
2016-04-11,4813.51
2016-04-12,4864.27
2016-04-13,4916.95
2016-04-18,4977.96
2016-04-20,5008.96
2016-04-21,4986.51
2016-04-22,4985.52
2016-04-25,4962.56
2016-04-26,4985.93
2016-04-27,5001.27
2016-04-28,4947.02
2016-04-29,4946.67
2016-05-02,4955.11
2016-05-03,4952.7
2016-05-04,4887.46
2016-05-05,4892.85
2016-05-06,4897.05
2016-05-09,4958.04
2016-05-10,4964.87
2016-05-11,4960.15
2016-05-12,5007.86
2016-05-13,4997.17
2016-05-16,4991.08
2016-05-17,5007.95
2016-05-18,5030.72
2016-05-19,4979.2
2016-05-20,4921.85
2016-05-23,4893.45
2016-05-24,4856.61
2016-05-25,4897.73
2016-05-26,4936.04
2016-05-27,4965.49
2016-05-30,4988.99
2016-05-31,4978.53
2016-06-01,5000.11
2016-06-02,5011.95
2016-06-03,4996.13
2016-06-06,5010.37
2016-06-07,5053.94
2016-06-08,5107.64
2016-06-09,5112.92
2016-06-10,5116.07
2016-06-13,5106.1
2016-06-14,5136.9
2016-06-15,5185.4
2016-06-16,5166.12
2016-06-17,5203.3
2016-06-20,5213.05
2016-06-21,5230.32
2016-06-22,5199.39
2016-06-23,5189.85
2016-06-24,5095.2
2016-06-27,5200.75
2016-06-28,5231.05
2016-06-29,5317.57
2016-06-30,5375.99
2016-07-01,5416.97
2016-07-04,5479.87
2016-07-05,5491.74
2016-07-07,5498.19
2016-07-08,5471.53
2016-07-11,5518.09
2016-07-12,5526.65
2016-07-13,5475.26
2016-07-14,5521.55
2016-07-15,5481.03
2016-07-18,5457.77
2016-07-19,5457.34
2016-07-20,5511.12
2016-07-21,5507.23
2016-07-22,5530.29
2016-07-25,5580.59
2016-07-26,5550.77
2016-07-27,5575.83
2016-07-28,5613.18
2016-07-29,5611.22
2016-08-01,5603.95
2016-08-02,5552.82
2016-08-03,5492.93
2016-08-04,5506.13
2016-08-05,5589.5
2016-08-08,5628.67
2016-08-09,5608.07
2016-08-10,5536.81
2016-08-11,5528.93
2016-08-12,5526.68
2016-08-16,5526.97
2016-08-17,5575.87
2016-08-18,5647.26
2016-08-19,5679.07
2016-08-22,5675.63
2016-08-23,5682.99
2016-08-24,5721.6
2016-08-25,5702.96
2016-08-26,5688.09
2016-08-29,5699.42
2016-08-30,5748.58
2016-08-31,5760.83
2016-09-01,5721.71
2016-09-02,5747.47
2016-09-06,5805.39
2016-09-07,5840.85
2016-09-08,5904.09
2016-09-09,5873.67
2016-09-12,5708.87
2016-09-14,5797.05
2016-09-15,5817.97
2016-09-16,5827.74
2016-09-19,5861.85
2016-09-20,5858.11
2016-09-21,5867.32
2016-09-22,5932.3
2016-09-23,5919.88
2016-09-26,5884.77
2016-09-27,5878.71
2016-09-28,5946.65
2016-09-29,5674.83
2016-09-30,5799.29
2016-10-03,5968.23
2016-10-04,6005.62
2016-10-05,6051.56
2016-10-06,6013.26
2016-10-07,6020.89
2016-10-10,6027.9
2016-10-13,5924.41
2016-10-14,5968.72
2016-10-17,5939.19
2016-10-18,6012.38
2016-10-19,6040.0
2016-10-20,6083.18
2016-10-21,6099.28
2016-10-24,6132.24
2016-10-25,6128.39
2016-10-26,6085.13
2016-10-27,6037.84
2016-10-28,6077.99
2016-10-30,6126.26
2016-11-01,6121.65
2016-11-02,6006.92
2016-11-03,5940.99
2016-11-04,5808.11
2016-11-07,5887.13
2016-11-08,5892.55
2016-11-09,5733.9
2016-11-10,5835.91
2016-11-11,5629.94
2016-11-15,5349.46
2016-11-16,5364.44
2016-11-17,5331.95
2016-11-18,5358.13
2016-11-21,5165.25
2016-11-22,5211.58
2016-11-23,5305.88
2016-11-24,5306.62
2016-11-25,5406.6
2016-11-28,5445.39
2016-11-29,5482.8
2016-11-30,5555.57
2016-12-01,5516.86
2016-12-02,5445.83
2016-12-05,5448.03
2016-12-06,5479.49
2016-12-07,5447.89
2016-12-08,5514.48
2016-12-09,5545.51
2016-12-12,5499.06
2016-12-13,5507.53
2016-12-14,5462.05
2016-12-15,5477.85
2016-12-16,5463.79
2016-12-19,5431.55
2016-12-20,5381.8
2016-12-21,5391.15
2016-12-22,5318.02
2016-12-23,5310.74
2016-12-26,5195.86
2016-12-27,5269.96
2016-12-28,5306.9
2016-12-29,5362.28
2016-12-30,5420.82
2017-01-02,5503.39
2017-01-03,5569.42
2017-01-04,5596.01
2017-01-05,5648.99
2017-01-06,5625.28
2017-01-09,5658.42
2017-01-10,5706.04
2017-01-11,5762.3
2017-01-12,5745.11
2017-01-13,5751.67
2017-01-16,5792.47
2017-01-17,5805.94
2017-01-18,5838.11
2017-01-19,5847.27
2017-01-20,5760.43
2017-01-23,5795.82
2017-01-24,5827.77
